124: Sorry!  ; cur: 2, Avg: 4.338710
125: Sorry!  ; cur: 8, Avg: 4.368000
126: Sorry!  ; cur: 1, Avg: 4.341270
127: Sorry!  ; cur: 1, Avg: 4.314961
128: Sorry!  ; cur: 1, Avg: 4.289063
129: Sorry!  ; cur: 2, Avg: 4.271318
130: Sorry!  ; cur: 2, Avg: 4.253846
131: Sorry!  ; cur: 1, Avg: 4.229008
132: Sorry!  ; cur: 1, Avg: 4.204545
133: Sorry!  ; cur: 1, Avg: 4.180451
134: Sorry!  ; cur: 6, Avg: 4.194030
135: Sorry!  ; cur: 2, Avg: 4.177778
136: Sorry!  ; cur: 6, Avg: 4.191176
137: Sorry!  ; cur: 1, Avg: 4.167883
138: Sorry!  ; cur: 11, Avg: 4.217391
139: Sorry!  ; cur: 1, Avg: 4.194245
140: Sorry!  ; cur: 4, Avg: 4.192857
141: Sorry!  ; cur: 2, Avg: 4.177305
142: Sorry!  ; cur: 5, Avg: 4.183099
143: Sorry!  ; cur: 2, Avg: 4.167832
144: Sorry!  ; cur: 4, Avg: 4.166667
145: Sorry!  ; cur: 1, Avg: 4.144828
146: Sorry!  ; cur: 7, Avg: 4.164384
147: Sorry!  ; cur: 2, Avg: 4.149660
148: Sorry!  ; cur: 2, Avg: 4.135135
149: Sorry!  ; cur: 1, Avg: 4.114094
150: Sorry!  ; cur: 38, Avg: 4.340000
151: Sorry!  ; cur: 1, Avg: 4.317881
152: Sorry!  ; cur: 1, Avg: 4.296053
153: Sorry!  ; cur: 3, Avg: 4.287582
154: Sorry!  ; cur: 7, Avg: 4.305195
155: Sorry!  ; cur: 3, Avg: 4.296774
156: Sorry!  ; cur: 5, Avg: 4.301282
157: Sorry!  ; cur: 5, Avg: 4.305732
158: Sorry!  ; cur: 4, Avg: 4.303797
159: Sorry!  ; cur: 6, Avg: 4.314465
160: Sorry!  ; cur: 1, Avg: 4.293750
161: Sorry!  ; cur: 5, Avg: 4.298137
162: Sorry!  ; cur: 1, Avg: 4.277778
163: Sorry!  ; cur: 1, Avg: 4.257669
164: Sorry!  ; cur: 1, Avg: 4.237805
165: Sorry!  ; cur: 1, Avg: 4.218182
166: Sorry!  ; cur: 9, Avg: 4.246988
167: Sorry!  ; cur: 3, Avg: 4.239521
168: Sorry!  ; cur: 4, Avg: 4.238095
169: Sorry!  ; cur: 4, Avg: 4.236686
170: Sorry!  ; cur: 1, Avg: 4.217647
171: Sorry!  ; cur: 3, Avg: 4.210526
172: Sorry!  ; cur: 2, Avg: 4.197674
173: Sorry!  ; cur: 8, Avg: 4.219653
174: Sorry!  ; cur: 1, Avg: 4.201149
175: Sorry!  ; cur: 1, Avg: 4.182857
176: Sorry!  ; cur: 3, Avg: 4.176136
177: Sorry!  ; cur: 2, Avg: 4.163842
178: Sorry!  ; cur: 1, Avg: 4.146067
179: Sorry!  ; cur: 2, Avg: 4.134078
180: Sorry!  ; cur: 6, Avg: 4.144444
181: Sorry!  ; cur: 7, Avg: 4.160221
182: Sorry!  ; cur: 4, Avg: 4.159341
183: Sorry!  ; cur: 1, Avg: 4.142077
184: Sorry!  ; cur: 4, Avg: 4.141304
185: Sorry!  ; cur: 1, Avg: 4.124324
186: Sorry!  ; cur: 30, Avg: 4.263441
187: Sorry!  ; cur: 1, Avg: 4.245989
188: Sorry!  ; cur: 2, Avg: 4.234043
189: Sorry!  ; cur: 1, Avg: 4.216931
190: Sorry!  ; cur: 7, Avg: 4.231579
191: Sorry!  ; cur: 1, Avg: 4.214660
192: Sorry!  ; cur: 2, Avg: 4.203125
193: Sorry!  ; cur: 1, Avg: 4.186528
194: Sorry!  ; cur: 5, Avg: 4.190722
195: Sorry!  ; cur: 1, Avg: 4.174359
196: Sorry!  ; cur: 11, Avg: 4.209184
197: Sorry!  ; cur: 1, Avg: 4.192893
198: Sorry!  ; cur: 17, Avg: 4.257576
199: Sorry!  ; cur: 8, Avg: 4.276382
200: Sorry!  ; cur: 6, Avg: 4.285000
201: Sorry!  ; cur: 5, Avg: 4.288557
202: Sorry!  ; cur: 14, Avg: 4.336634
203: Sorry!  ; cur: 1, Avg: 4.320197
204: Sorry!  ; cur: 1, Avg: 4.303922
205: Sorry!  ; cur: 2, Avg: 4.292683
206: Sorry!  ; cur: 1, Avg: 4.276699
207: Sorry!  ; cur: 2, Avg: 4.265700
208: Sorry!  ; cur: 8, Avg: 4.283654
209: Sorry!  ; cur: 7, Avg: 4.296651
210: Sorry!  ; cur: 1, Avg: 4.280952
211: Sorry!  ; cur: 1, Avg: 4.265403
212: Sorry!  ; cur: 3, Avg: 4.259434
213: Sorry!  ; cur: 4, Avg: 4.258216
214: Sorry!  ; cur: 1, Avg: 4.242991
215: Sorry!  ; cur: 6, Avg: 4.251163
216: Sorry!  ; cur: 5, Avg: 4.254630
217: Sorry!  ; cur: 1, Avg: 4.239631
218: Sorry!  ; cur: 1, Avg: 4.224771
219: Sorry!  ; cur: 1, Avg: 4.210046
220: Sorry!  ; cur: 1, Avg: 4.195455
221: Sorry!  ; cur: 2, Avg: 4.185520
222: Sorry!  ; cur: 1, Avg: 4.171171
223: Sorry!  ; cur: 1, Avg: 4.156951
224: Sorry!  ; cur: 6, Avg: 4.165179
225: Sorry!  ; cur: 2, Avg: 4.155556
226: Sorry!  ; cur: 1, Avg: 4.141593
227: Sorry!  ; cur: 2, Avg: 4.132159
228: Sorry!  ; cur: 1, Avg: 4.118421
229: Sorry!  ; cur: 1, Avg: 4.104803
230: Sorry!  ; cur: 1, Avg: 4.091304
231: Sorry!  ; cur: 1, Avg: 4.077922
232: Sorry!  ; cur: 1, Avg: 4.064655
233: Sorry!  ; cur: 2, Avg: 4.055794
234: Sorry!  ; cur: 2, Avg: 4.047009
235: Sorry!  ; cur: 1, Avg: 4.034043
236: Sorry!  ; cur: 4, Avg: 4.033898
237: Sorry!  ; cur: 1, Avg: 4.021097
238: Sorry!  ; cur: 1, Avg: 4.008403
239: Sorry!  ; cur: 5, Avg: 4.012552
240: Sorry!  ; cur: 1, Avg: 4.000000
241: Sorry!  ; cur: 4, Avg: 4.000000
242: Sorry!  ; cur: 1, Avg: 3.987603
243: Sorry!  ; cur: 11, Avg: 4.016461
244: Sorry!  ; cur: 5, Avg: 4.020492
