124: Sorry!  ; cur: 4, Avg: 4.072581
125: Sorry!  ; cur: 1, Avg: 4.048000
126: Sorry!  ; cur: 2, Avg: 4.031746
127: Sorry!  ; cur: 4, Avg: 4.031496
128: Sorry!  ; cur: 1, Avg: 4.007813
129: Sorry!  ; cur: 4, Avg: 4.007752
130: Sorry!  ; cur: 1, Avg: 3.984615
131: Sorry!  ; cur: 18, Avg: 4.091603
132: Sorry!  ; cur: 3, Avg: 4.083333
133: Sorry!  ; cur: 2, Avg: 4.067669
134: Sorry!  ; cur: 2, Avg: 4.052239
135: Sorry!  ; cur: 1, Avg: 4.029630
136: Sorry!  ; cur: 14, Avg: 4.102941
137: Sorry!  ; cur: 13, Avg: 4.167883
138: Sorry!  ; cur: 2, Avg: 4.152174
139: Sorry!  ; cur: 1, Avg: 4.129496
140: Sorry!  ; cur: 2, Avg: 4.114286
141: Sorry!  ; cur: 5, Avg: 4.120567
142: Sorry!  ; cur: 1, Avg: 4.098592
143: Sorry!  ; cur: 7, Avg: 4.118881
144: Sorry!  ; cur: 2, Avg: 4.104167
145: Sorry!  ; cur: 6, Avg: 4.117241
146: Sorry!  ; cur: 19, Avg: 4.219178
147: Sorry!  ; cur: 16, Avg: 4.299320
148: Sorry!  ; cur: 15, Avg: 4.371622
149: Sorry!  ; cur: 1, Avg: 4.348993
150: Sorry!  ; cur: 2, Avg: 4.333333
151: Sorry!  ; cur: 1, Avg: 4.311258
152: Sorry!  ; cur: 9, Avg: 4.342105
153: Sorry!  ; cur: 6, Avg: 4.352941
154: Sorry!  ; cur: 2, Avg: 4.337662
155: Sorry!  ; cur: 3, Avg: 4.329032
156: Sorry!  ; cur: 4, Avg: 4.326923
157: Sorry!  ; cur: 1, Avg: 4.305732
158: Sorry!  ; cur: 2, Avg: 4.291139
159: Sorry!  ; cur: 3, Avg: 4.283019
160: Sorry!  ; cur: 2, Avg: 4.268750
161: Sorry!  ; cur: 4, Avg: 4.267081
162: Sorry!  ; cur: 1, Avg: 4.246914
163: Sorry!  ; cur: 2, Avg: 4.233129
164: Sorry!  ; cur: 4, Avg: 4.231707
165: Sorry!  ; cur: 1, Avg: 4.212121
166: Sorry!  ; cur: 3, Avg: 4.204819
167: Sorry!  ; cur: 1, Avg: 4.185629
168: Sorry!  ; cur: 2, Avg: 4.172619
169: Sorry!  ; cur: 1, Avg: 4.153846
170: Sorry!  ; cur: 2, Avg: 4.141176
171: Sorry!  ; cur: 1, Avg: 4.122807
172: Sorry!  ; cur: 14, Avg: 4.180233
173: Sorry!  ; cur: 5, Avg: 4.184971
174: Sorry!  ; cur: 12, Avg: 4.229885
175: Sorry!  ; cur: 1, Avg: 4.211429
176: Sorry!  ; cur: 1, Avg: 4.193182
177: Sorry!  ; cur: 3, Avg: 4.186441
178: Sorry!  ; cur: 4, Avg: 4.185393
179: Sorry!  ; cur: 1, Avg: 4.167598
180: Sorry!  ; cur: 1, Avg: 4.150000
181: Sorry!  ; cur: 6, Avg: 4.160221
182: Sorry!  ; cur: 18, Avg: 4.236264
183: Sorry!  ; cur: 1, Avg: 4.218579
184: Sorry!  ; cur: 2, Avg: 4.206522
185: Sorry!  ; cur: 1, Avg: 4.189189
186: Sorry!  ; cur: 7, Avg: 4.204301
187: Sorry!  ; cur: 1, Avg: 4.187166
188: Sorry!  ; cur: 1, Avg: 4.170213
189: Sorry!  ; cur: 1, Avg: 4.153439
190: Sorry!  ; cur: 1, Avg: 4.136842
191: Sorry!  ; cur: 3, Avg: 4.130890
192: Sorry!  ; cur: 2, Avg: 4.119792
193: Sorry!  ; cur: 5, Avg: 4.124352
194: Sorry!  ; cur: 2, Avg: 4.113402
195: Sorry!  ; cur: 2, Avg: 4.102564
196: Sorry!  ; cur: 1, Avg: 4.086735
197: Sorry!  ; cur: 1, Avg: 4.071066
198: Sorry!  ; cur: 5, Avg: 4.075758
199: Sorry!  ; cur: 4, Avg: 4.075377
200: Sorry!  ; cur: 2, Avg: 4.065000
201: Sorry!  ; cur: 2, Avg: 4.054726
202: Sorry!  ; cur: 3, Avg: 4.049505
203: Sorry!  ; cur: 12, Avg: 4.088670
204: Sorry!  ; cur: 6, Avg: 4.098039
205: Sorry!  ; cur: 2, Avg: 4.087805
206: Sorry!  ; cur: 2, Avg: 4.077670
207: Sorry!  ; cur: 1, Avg: 4.062802
208: Sorry!  ; cur: 1, Avg: 4.048077
209: Sorry!  ; cur: 6, Avg: 4.057416
210: Sorry!  ; cur: 1, Avg: 4.042857
211: Sorry!  ; cur: 5, Avg: 4.047393
212: Sorry!  ; cur: 3, Avg: 4.042453
213: Sorry!  ; cur: 1, Avg: 4.028169
214: Sorry!  ; cur: 8, Avg: 4.046729
215: Sorry!  ; cur: 1, Avg: 4.032558
216: Sorry!  ; cur: 3, Avg: 4.027778
217: Sorry!  ; cur: 1, Avg: 4.013825
218: Sorry!  ; cur: 4, Avg: 4.013761
219: Sorry!  ; cur: 1, Avg: 4.000000
220: Sorry!  ; cur: 1, Avg: 3.986364
221: Sorry!  ; cur: 1, Avg: 3.972851
222: Sorry!  ; cur: 10, Avg: 4.000000
223: Sorry!  ; cur: 8, Avg: 4.017937
224: Sorry!  ; cur: 1, Avg: 4.004464
225: Sorry!  ; cur: 10, Avg: 4.031111
226: Sorry!  ; cur: 1, Avg: 4.017699
227: Sorry!  ; cur: 3, Avg: 4.013216
228: Sorry!  ; cur: 1, Avg: 4.000000
229: Sorry!  ; cur: 1, Avg: 3.986900
230: Sorry!  ; cur: 1, Avg: 3.973913
231: Sorry!  ; cur: 3, Avg: 3.969697
232: Sorry!  ; cur: 12, Avg: 4.004310
233: Sorry!  ; cur: 1, Avg: 3.991416
234: Sorry!  ; cur: 11, Avg: 4.021368
235: Sorry!  ; cur: 2, Avg: 4.012766
236: Sorry!  ; cur: 1, Avg: 4.000000
237: Sorry!  ; cur: 2, Avg: 3.991561
238: Sorry!  ; cur: 2, Avg: 3.983193
239: Sorry!  ; cur: 1, Avg: 3.970711
240: Sorry!  ; cur: 2, Avg: 3.962500
241: Sorry!  ; cur: 9, Avg: 3.983402
242: Sorry!  ; cur: 2, Avg: 3.975207
243: Sorry!  ; cur: 10, Avg: 4.000000
244: Sorry!  ; cur: 3, Avg: 3.995902
245: Sorry!  ; cur: 1, Avg: 3.983673
246: Sorry!  ; cur: 3, Avg: 3.979675
247: Sorry!  ; cur: 4, Avg: 3.979757
248: Sorry!  ; cur: 2, Avg: 3.971774
249: Sorry!  ; cur: 2, Avg: 3.963855
250: Sorry!  ; cur: 5, Avg: 3.968000
251: Sorry!  ; cur: 1, Avg: 3.956175
252: Sorry!  ; cur: 2, Avg: 3.948413
253: Sorry!  ; cur: 1, Avg: 3.936759
254: Sorry!  ; cur: 1, Avg: 3.925197
255: Sorry!  ; cur: 2, Avg: 3.917647
256: Sorry!  ; cur: 1, Avg: 3.906250
257: Sorry!  ; cur: 9, Avg: 3.926070
258: Sorry!  ; cur: 1, Avg: 3.914729
259: Sorry!  ; cur: 5, Avg: 3.918919
260: Sorry!  ; cur: 2, Avg: 3.911538
261: Sorry!  ; cur: 1, Avg: 3.900383
262: Sorry!  ; cur: 2, Avg: 3.893130
263: Sorry!  ; cur: 8, Avg: 3.908745
264: Sorry!  ; cur: 1, Avg: 3.897727
265: Sorry!  ; cur: 1, Avg: 3.886792
266: Sorry!  ; cur: 3, Avg: 3.883459
267: Sorry!  ; cur: 1, Avg: 3.872659
268: Sorry!  ; cur: 1, Avg: 3.861940
269: Sorry!  ; cur: 2, Avg: 3.855019
270: Sorry!  ; cur: 4, Avg: 3.855556
271: Sorry!  ; cur: 2, Avg: 3.848708
272: Sorry!  ; cur: 3, Avg: 3.845588
273: Sorry!  ; cur: 3, Avg: 3.842491
274: Sorry!  ; cur: 1, Avg: 3.832117
275: Sorry!  ; cur: 1, Avg: 3.821818
276: Sorry!  ; cur: 2, Avg: 3.815217
277: Sorry!  ; cur: 6, Avg: 3.823105
278: Sorry!  ; cur: 1, Avg: 3.812950
279: Sorry!  ; cur: 1, Avg: 3.802867
280: Sorry!  ; cur: 10, Avg: 3.825000
281: Sorry!  ; cur: 1, Avg: 3.814947
282: Sorry!  ; cur: 18, Avg: 3.865248
283: Sorry!  ; cur: 34, Avg: 3.971731
284: Sorry!  ; cur: 3, Avg: 3.968310
285: Sorry!  ; cur: 1, Avg: 3.957895
286: Sorry!  ; cur: 1, Avg: 3.947552
287: Sorry!  ; cur: 6, Avg: 3.954704
288: Sorry!  ; cur: 2, Avg: 3.947917
289: Sorry!  ; cur: 3, Avg: 3.944637
290: Sorry!  ; cur: 3, Avg: 3.941379
291: Sorry!  ; cur: 25, Avg: 4.013746
292: Sorry!  ; cur: 1, Avg: 4.003425
293: Sorry!  ; cur: 3, Avg: 4.000000
294: Sorry!  ; cur: 6, Avg: 4.006803
295: Sorry!  ; cur: 1, Avg: 3.996610
296: Sorry!  ; cur: 1, Avg: 3.986486
297: Sorry!  ; cur: 13, Avg: 4.016835
298: Sorry!  ; cur: 7, Avg: 4.026846
299: Sorry!  ; cur: 1, Avg: 4.016722
300: Sorry!  ; cur: 1, Avg: 4.006667
301: Sorry!  ; cur: 5, Avg: 4.009967
302: Sorry!  ; cur: 1, Avg: 4.000000
303: Sorry!  ; cur: 1, Avg: 3.990099
304: Sorry!  ; cur: 2, Avg: 3.983553
305: Sorry!  ; cur: 1, Avg: 3.973770
306: Sorry!  ; cur: 1, Avg: 3.964052
307: Sorry!  ; cur: 19, Avg: 4.013029
308: Sorry!  ; cur: 1, Avg: 4.003247
309: Sorry!  ; cur: 31, Avg: 4.090615
310: Sorry!  ; cur: 7, Avg: 4.100000
311: Sorry!  ; cur: 12, Avg: 4.125402
312: Sorry!  ; cur: 4, Avg: 4.125000
313: Sorry!  ; cur: 1, Avg: 4.115016
314: Sorry!  ; cur: 3, Avg: 4.111465
315: Sorry!  ; cur: 1, Avg: 4.101587
316: Sorry!  ; cur: 1, Avg: 4.091772
317: Sorry!  ; cur: 1, Avg: 4.082019
318: Sorry!  ; cur: 5, Avg: 4.084906
